article_id,author_id
1002.3258,ShihC
1002.3312,MurugesanS
1002.3312,SchniterP
1002.3312,ShroffN
1002.3583,ReichS
1002.3583,KopeckaE
1002.3583,ReemD
1002.3724,NassoS
1002.3724,SilvestriF
1002.3724,TisiotF
1002.3724,DiCamilloB
1002.3724,PietracaprinaA
1002.3724,ToffoloG
1002.3931,LeshemA
1002.3931,NoamY
1002.3931,MesserH
1002.4061,KahramanogullariO
1002.4062,DonaldsonR
1002.4062,CalderM
1002.4063,CiocchettaF
1002.4063,GuerrieroM
1002.4063,HillstonJ
1002.4064,HaackF
1002.4064,LeyeS
1002.4064,UhrmacherA
1002.4065,ZamborszkyJ
1002.4065,PriamiC
1002.4066,TroinaA
1002.4066,CapecchiS
1002.4067,BodeiC
1002.4067,BraccialiA
1002.4067,ChiarugiD
1002.4067,GoriR
1002.4088,EzermanM
1002.4088,LingS
1002.4088,SoleP
1002.4172,NayyarA
1002.4172,MahajanA
1002.4172,TeneketzisD
1002.4263,ChockalingamA
1002.4263,HongY
1002.4263,ViterboE
1002.4263,MohammedS
1002.4286,BalcazarJ
1002.4384,KoutschanC
1002.4384,KauersM
1002.4384,ZeilbergerD
1002.4661,AkmanO
1002.4661,GuerrieroM
1002.4661,LoeweL
1002.4661,TroeinC
1002.4935,ComonP
1002.4935,LimL
1003.0054,SrivastavaR
1003.0054,KoksalC
1003.0064,LiuS
1003.0064,LingC
1003.0064,StehleD
1003.0118,ObdrzalekJ
1003.0118,BrazdilT
1003.0118,BrozekV
1003.0118,KuceraA
1003.0219,WillskyA
1003.0219,SanghaviS
1003.0219,MalioutovD
1003.0358,CiresanD
1003.0358,MeierU
1003.0358,GambardellaL
1003.0358,SchmidhuberJ
1003.0381,SirigineediG
1003.0381,TsourdosA
1003.0381,WhiteB
1003.0381,ZbikowskiR
1003.0396,HincheyM
1003.0396,VassevE
1003.0425,JaparidzeG
1003.0431,KordyP
1003.0431,LangerakR
1003.0431,PoldermanJ
1003.0502,ShalitO
1003.0554,StreckerM
1003.0554,DagnatF
1003.0554,RuginaA
1003.0554,GarciaG
1003.0554,PantelM
1003.0554,BuissonJ
1003.0554,BodeveixJ
1003.0554,TalpinJ
1003.0554,OuyJ
1003.0554,GautierT
1003.0554,CortierA
1003.0554,BesnardL
1003.0617,DennisL
1003.0617,FisherM
1003.0617,LincolnN
1003.0617,LisitsaA
1003.0617,VeresS
1003.0634,LazarM
1003.0722,GuptaA
1003.0722,NagarajanV
1003.0722,RaviR
1003.1141,TurneyP
1003.1141,PantelP
1003.1257,AgrellE
1003.1257,KarlssonM
1003.1291,LorcaA
1003.1291,HuedoE
1003.1291,LlorenteI
1003.1412,BarbosaV
1003.1682,HavelundK
1003.1682,SmithM
1003.1682,BarringerH
1003.1682,GroceA
1003.1741,CimattiA
1003.1741,RoveriM
1003.1741,SusiA
1003.1741,TonettaS
1003.1787,ShiojiE
1003.1787,MatsumotoR
1003.1787,UyematsuT
1003.2022,ChaudhuryK
1003.2022,MunozBarrutiaA
1003.2022,UnserM
1003.2822,EldarY
1003.2822,FriedmanZ
1003.2822,TurR
1003.2871,ForgetJ
1003.2871,BoniolF
1003.2871,LesensD
1003.2871,PagettiC
1003.2883,KsairiN
1003.2883,BianchiP
1003.2883,CiblatP
1003.3091,RibeiroC
1003.3091,FerwornA
1003.3091,TranJ
1003.3092,RenaultE
1003.3092,AmarE
1003.3092,BoumerdassiS
1003.3195,WinterA
1003.3195,MatthewsW
1003.3195,LeungD
1003.3195,CubittT
1003.3305,KhemakhemM
1003.3305,BelghithA
1003.3307,MehtaS
1003.3307,KwakK
1003.3311,AlMogrenA
1003.3312,AlamM
1003.3312,ChanE
1003.3312,AliG
1003.3312,ChakrabortyR
1003.3317,LingZ
1003.3317,WeixiongD
1003.3317,YuxiZ
1003.3322,ZafouneY
1003.3322,MokhtariA
1003.3322,kanawatiR
1003.3325,AbdelkaderK
1003.3325,BroeckhoveJ
1003.3325,VanmechelenK
1003.3326,SharmaA
1003.3326,ShiH
1003.3384,FagnaniF
1003.3384,ComoG
1003.3676,MoreiraM
1003.3676,RittM
1003.3676,CostaA
1003.3676,ChavesA
1003.3785,LevandovskyyV
1003.3785,SchindelarK
1003.3904,ChebotarevP
1003.3909,AhammedG
1003.3909,BanuR
1003.3984,ProtterM
1003.3984,EladM
1003.3984,YavnehI
1003.3984,TurekJ
1003.4042,ChoiS
1003.4042,PaigeC
1003.4042,SaundersM
1003.4274,DuerschP
1003.4274,OechsslerJ
1003.4274,SchipperB
1003.4277,DuerschP
1003.4277,OechsslerJ
1003.4277,SchipperB
1003.4314,KarapetyanD
1003.4314,GutinG
1003.4326,NametO
1003.4326,FernandezM
1003.4406,AnguelovR
1003.4406,ButlerP
1003.4406,RohwerC
1003.4406,WildM
1003.4552,JacobsB
1003.4562,HassanA
1003.4562,JireschE
1003.4562,SatoS
1003.4563,PlumpD
1003.4563,SteinertS
1003.4719,JaparidzeG
1003.4799,TavaresC
1003.4799,KirchnerC
1003.4799,MoreauP
1003.4802,MarcosJ
1003.4803,BoyerB
1003.4803,GenetT
1003.4812,EverdijM
1003.4812,BlomH
1003.4847,BediniA
1003.4847,JacobsenJ
1003.4994,HaydenP
1003.4994,WinterA
1003.5056,LakhalL
1003.5056,CasaliA
1003.5056,NedjarS
1003.5056,CicchettiR
1003.5068,BonaldT
1003.5068,FeuilletM
1003.5197,GarciaR
1003.5197,LumsdaineA
1003.5197,SabryA
1003.5238,LiuC
1003.5238,KlusS
1003.5238,SahaiT
1003.5238,DellnitzM
1003.5239,GiannakisG
1003.5239,RajawatK
1003.5239,GatsisN
1003.5249,SznitmanR
1003.5249,JedynakB
1003.5257,NakshatralaK
1003.5257,NagarajanH
1003.5309,MouraJ
1003.5309,RabbatM
1003.5309,DimakisA
1003.5309,KarS
1003.5309,ScaglioneA
1003.5399,ZakharyaschevM
1003.5399,WolterF
1003.5399,PrattHartmannI
1003.5399,KontchakovR
1003.5459,FouquetJ
1003.5459,ThuillierH
1003.5459,VanherpeJ
1003.5511,GaboardiM
1003.5511,PiccoloM
1003.5512,TorriniP
1003.5512,HeckelR
1003.5513,deVriesE
1003.5513,FrancalanzaA
1003.5513,HennessyM
1003.5515,SiafakasN
1003.5515,FernandezM
1003.5518,BucciarelliA
1003.5518,CarraroA
1003.5518,EhrhardT
1003.5518,SalibraA
1003.5648,AlhussienH
1003.5648,MoonJ
1003.5693,AlhussienH
1003.5693,MoonJ
1003.5783,MkrtchyanV
1003.5783,SteffenE
1003.5998,SistekJ
1003.5998,SzollosA
1003.5998,HajekJ
1003.6091,GoebelB
1003.6091,EssiambreR
1003.6091,KramerG
1003.6091,WinzerP
1003.6091,HanikN
1004.0092,HoffmannB
1004.0092,LifshitsM
1004.0092,LifshitsY
1004.0092,NowotkaD
1004.0381,KarS
1004.0381,MouraJ
1004.0395,VenkataramaniA
1004.0395,TowsleyD
1004.0395,LeaoR
1004.0395,MenascheD
1004.0395,RochaA
1004.0395,SilvaE
1004.0436,ZhangZ
1004.0436,ShiY
1004.0456,RossiF
1004.0456,HebrailG
1004.0456,HugueneyB
1004.0456,LechevallierY
1004.0458,HsiehM
1004.0458,WildeM
1004.0658,TadakiK
1004.0816,GayoAvelloD
1004.1598,CoeckeB
1004.1598,PerdrixS
1004.1672,CaoY
1004.1672,ChenJ
1004.1672,LiuY
1004.1741,TreibigJ
1004.1741,WelleinG
1004.1741,HagerG
1004.1836,MartinR
1004.1836,CheboluP
1004.1836,GoldbergL
1004.1947,BrownC
1004.1947,SmolkaG
1004.1986,GoreinovS
1004.1986,OseledetsI
1004.1986,SavostyanovD
1004.1995,ShahD
1004.1995,WischikD
1004.2033,BonifaciV
1004.2033,MarchettiSpaccamelaA
1004.2242,KaisS
1004.2242,DaskinA
1004.2299,OngL
1004.2299,JohnsonS
1004.2299,KellettC
1004.2354,PessolesX
1004.2354,LandonY
1004.2354,RubioW
1004.2593,MarichalJ
1004.2593,MathonetP
1004.2735,SoukupL
1004.2735,ErdosP
1004.2735,StoyeJ
1004.2778,KatzR
1004.2778,AllamigeonX
1004.2778,GaubertS
1004.2818,GoubaultE
1004.2818,MimramS
1004.2924,ZerzE
1004.2924,SchindelarK
1004.2924,LevandovskyyV
1004.3071,BreslerY
1004.3071,JungeM
1004.3071,LeeK
1004.3236,JaparidzeG
1004.3273,BaraniukR
1004.3273,HegdeC
1004.3314,KoutschanC
1004.3361,NonnenmacherS
1004.3361,SjoestrandJ
1004.3361,ZworskiM
1004.3655,TassonC
1004.3655,VauxL
1004.3692,BarbourA
1004.3692,JohnsonO
1004.3692,KontoyiannisI
1004.3692,MadimanM
1004.3714,AndrewsJ
1004.3714,ChenY
1004.3774,CouvreurA
1004.3808,HawblitzelC
1004.3808,PetrankE
1004.3833,AlBashabshehA
1004.3833,MaoY
1004.3842,BodirskyM
1004.3842,DalmauV
1004.3842,MartinB
1004.3842,MottetA
1004.3842,PinskerM
1004.4063,ParreauA
1004.4063,MontassierM
1004.4063,DelmasO
1004.4063,GravierS
1004.4222,TangG
1004.4222,NehoraiA
1004.4308,TaheriO
1004.4308,VorobyovS
1004.4329,ShtokJ
1004.4329,EladM
1004.4342,LeiteJ
1004.4342,SlotaM
1004.4492,JorswieckE
1004.4492,MochaourabR
1004.4622,KawamuraA
1004.4718,LohW
1004.4718,MoonY
1004.4718,KangJ
1004.5049,BoltzS
1004.5049,NielsenF
1004.5179,HosseiniKhayatS
1004.5179,WildeM
1004.5179,HoushmandM
1004.5274,MuhammadF
1004.5274,HelardJ
1004.5274,BaudaisJ
1004.5285,ChezeG
1004.5529,VillardJ
1004.5529,BianchiP
1004.5588,AggarwalV
1004.5588,AvestimehrA
1004.5588,SabharwalA
1005.0054,CaballeroGilP
1005.0054,HernandezGoyaC
1005.0055,CaballeroGilP
1005.0055,FusterSabaterA
1005.0058,CaballeroGilP
1005.0058,FusterSabaterA
1005.0075,CuiY
1005.0075,LauV
1005.0095,CaballeroGilP
1005.0095,FusterSabaterA
1005.0167,AnandM
1005.0167,KumarP
1005.0253,BenAmramA
1005.0484,BucheliS
1005.0484,KuznetsR
1005.0484,StuderT
1005.0503,deHoogF
1005.0503,BrentR
1005.0503,BojanczykA
1005.0518,BenAmramA
1005.0519,BonfanteG
1005.0521,LagoU
1005.0521,MartiniS
1005.0521,ZorziM
1005.0522,RoversiL
1005.0522,VercelliL
1005.0524,BrunelA
1005.0524,TeruiK
1005.0693,vanderSchaarM
1005.0693,ParkJ
1005.0712,WilhelmM
1005.0712,MartinovicI
1005.0712,SchmittJ
1005.0732,HadziVelkovZ
1005.0732,ZlatanovN
1005.0734,HadziVelkovZ
1005.0734,KaragiannidisG
1005.0734,ZlatanovN
1005.0895,JoretG
1005.0895,TheisD
1005.0895,FioriniS
1005.0895,WoodD
1005.1009,SchnitgerG
1005.1009,JuknaS
1005.1143,NestM
1005.1369,WeinsteinA
1005.1567,GrecoG
1005.1567,ScarcelloF
1005.1634,ShahN
1005.1634,RashmiK
1005.1634,KumarP
1005.1634,RamchandranK
1005.1694,FeldheimO
1005.1694,HodR
1005.1749,GebaliF
1005.1749,AmerA
1005.1751,IyengarN
1005.1751,kumarS
1005.1751,NagarP
1005.1751,SharmaS
1005.1751,AtreyA
1005.1753,AbidM
1005.1753,YahiyaT
1005.1753,PujolleG
1005.1755,AnalouiM
1005.1755,MizanianK
1005.1755,VasefM
1005.1757,AhmedT
1005.1757,AbbasiU
1005.1758,KhalilA
1005.1758,CrussiereM
1005.1758,HelardJ
1005.1759,KanrarS
1005.1759,SirajM
1005.1771,FusterSabaterA
1005.1771,CaballeroGilP
1005.1787,MhalaN
1005.1787,ChoudhariN
1005.1992,AhammedG
1005.1992,BanuR
1005.2004,MahiniA
1005.2004,MahiniH
1005.2004,BerangiR
1005.2012,DuchiJ
1005.2012,AgarwalA
1005.2012,WainwrightM
1005.2061,ZlatanovN
1005.2061,HadziVelkovZ
1005.2061,KaragiannidisG
1005.2061,SchoberR
1005.2211,SzwarcfiterJ
1005.2211,SoulignacF
1005.2211,LinM
1005.2277,FusterSabaterA
1005.2277,GarciaMochalesP
1005.2314,BrentR
1005.2395,KrivineJ
1005.2405,CandoganO
1005.2405,MenacheI
1005.2405,OzdaglarA
1005.2405,ParriloP
1005.2452,LaMarM
1005.2469,KhanS
1005.2469,RaoI
1005.2469,ImranN
1005.2646,FengC
1005.2646,SilvaD
1005.2646,KschischangF
1005.2654,SalehiS
1005.2678,BulatovA
1005.2678,DyerM
1005.2678,GoldbergL
1005.2678,JalseniusM
1005.2678,JerrumM
1005.2678,RicherbyD
1005.2897,ValironB
1005.2897,TassonC
1005.2897,AssafA
1005.2897,DiazCaroA
1005.2897,PerdrixS
1005.2949,ChebiraA
1005.2949,FickusM
1005.2949,MixonD
1005.3014,AckermanN
1005.3014,FreerC
1005.3014,RoyD
1005.3529,SzymanskiB
1005.3529,KornissG
1005.3529,HuntD
1005.3632,FusterSabaterA
1005.3731,LevyJ
1005.3731,VillaretM
1005.3818,WildeM
1005.3818,HsiehM
1005.4118,ZhangJ
1005.4118,PaisitkriangkraiS
1005.4118,ShenC
