author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
HussainA,Hussain,Aini,,,16,1230,76.875,3.0,32,10,344,307,3395,287
HuangZ,Huang,Zihan,,M,23,434,18.87,3.0,69,10,181,1253,14280,287
GunduzD,Gunduz,Deniz,,M,16,724,45.25,2.0,24,10,344,647,6184,287
HuangX,Huang,Xiaoqian,,M,27,455,16.852,3.0,86,10,135,1169,15657,287
QuevedoD,Quevedo,Daniel,E,M,10,535,53.5,2.0,16,10,827,933,5152,287
SingerA,Singer,Andrew,C,M,13,399,30.692,3.0,28,10,498,1396,9320,287
PoleseM,Polese,Michele,,F,11,1049,95.364,4.0,26,10,685,392,2567,287
NavabN,Navab,Nassir,,,16,304,19.0,5.0,70,10,344,1884,14056,287
BajwaW,Bajwa,Waheed,U,M,15,402,26.8,2.0,21,10,384,1386,10600,287
LinL,Lin,Lijing,,female,17,1132,66.588,4.0,82,10,313,345,4064,287
KutzJ,Kutz,J,Nathan,,13,817,62.846,3.0,21,10,498,549,4356,287
HuangS,Huang,Shuo,,,18,462,25.667,2.0,37,10,279,1142,10990,287
BaiX,Bai,Xiaoshan,,,12,1095,91.25,3.5,41,10,574,366,2718,287
HsiehM,Hsieh,MinHsiu,,,21,293,13.952,2.0,30,10,214,1952,17802,287
HerreraF,Herrera,Francisco,,M,15,598,39.867,4.0,40,10,384,815,7058,287
SongY,Song,Yangqiu,,,18,335,18.611,4.0,64,10,279,1699,14325,287
HongD,Hong,Danfeng,,,11,1590,144.545,4.0,25,10,685,211,1454,287
ZhangG,Zhang,Gongjie,,,19,408,21.474,2.0,37,10,251,1357,12736,287
BocheH,Boche,Holger,,M,30,720,24.0,2.0,32,10,108,658,11620,287
TyukinI,Tyukin,Ivan,Y,,16,354,22.125,3.0,21,10,344,1603,12375,287
MatsumotoR,Matsumoto,Ryutaroh,,,25,340,13.6,1.0,18,10,155,1666,17867,287
ErikssonT,Eriksson,Thomas,,M,10,505,50.5,2.5,28,10,827,993,5505,287
GuhaS,Guha,Shion,,F,13,447,34.385,2.0,22,10,498,1203,8217,287
ZhuQ,Zhu,Qibiao,,male,18,476,26.444,1.0,26,10,279,1085,10668,287
XieY,Xie,Yutong,,F,18,383,21.278,2.5,47,10,279,1469,12784,287
ValkamaM,Valkama,Mikko,,M,11,742,67.455,3.0,25,10,685,628,3971,287
YuanY,Yuan,Yuan,,,15,889,59.267,2.0,24,10,384,486,4600,287
