author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
MekyskaJ,Mekyska,Jiri,,,11,214,19.455,2.0,32,7,826,2853,13819,756
ProtopapasP,Protopapas,Pavlos,,M,10,192,19.2,3.5,17,7,987,3174,13879,756
SahaS,Saha,Simanto,,M,14,381,27.214,4.5,62,7,513,1508,10287,756
SchaffnerC,Schaffner,Christian,,M,7,335,47.857,3.0,20,7,2037,1740,5773,756
ThompsonJ,Thompson,John,,,9,173,19.222,5.0,64,7,1216,3523,13876,756
GraziotinD,Graziotin,Daniel,,M,12,565,47.083,2.5,19,7,693,890,5813,756
GarciaA,Garcia,Alvaro,Lpez,M,17,162,9.529,3.0,50,7,361,3742,22705,756
AlamM,Alam,Mehwish,,F,10,292,29.2,3.0,34,7,987,2011,9617,756
MeierC,Meier,Christoph,,M,9,385,42.778,3.0,19,7,1216,1494,6451,756
ThomasR,Thomas,Robin,,M,12,416,34.667,2.0,70,7,693,1367,8072,756
TraversaF,Traversa,Fabio,L,M,9,272,30.222,2.0,6,7,1216,2231,9298,756
JiangC,Jiang,Cong,,,11,729,66.273,4.0,45,7,826,658,4023,756
WolterinkJ,Wolterink,Jelmer,M,M,8,523,65.375,5.0,19,7,1561,977,4087,756
JiaX,Jia,Xiaodong,,M,9,375,41.667,5.0,44,7,1216,1536,6629,756
GorrizJ,Gorriz,J,M,,12,217,18.083,10.0,41,7,693,2829,14544,756
GoyalV,Goyal,Vivek,K,F,9,154,17.111,2.0,12,7,1216,3954,15298,756
GottlobG,Gottlob,G,,,10,959,95.9,2.0,19,7,987,454,2501,756
XueB,Xue,Bing,,,9,416,46.222,2.0,6,7,1216,1367,5929,756
QureshiA,Qureshi,Ahmed,Hussain,M,7,1178,168.286,1.0,10,7,2037,331,1150,756
HouT,Hou,Thomas,Y,M,8,1338,167.25,2.0,20,7,1561,282,1153,756
PhanH,Phan,Huy,,,10,462,46.2,5.0,29,7,987,1166,5931,756
XiaF,Xia,Feng,,,11,219,19.909,4.0,38,7,826,2794,13706,756
GessertN,Gessert,Nils,,,11,191,17.364,4.0,29,7,826,3191,15247,756
XiaG,Xia,GuiSong,,,10,573,57.3,3.0,25,7,987,868,4720,756
RoutrayA,Routray,Aurobinda,,,10,588,58.8,2.0,10,7,987,842,4600,756
MayrP,Mayr,Philipp,,M,17,316,18.588,2.0,24,7,361,1855,14399,756
LinZ,Lin,Zhouchen,,,14,549,39.214,2.0,32,7,513,917,7020,756
YangM,Yang,Mao,,,11,985,89.545,3.0,40,7,826,436,2768,756
HanT,Han,Tao,,,10,481,48.1,3.0,26,7,987,1081,5676,756
SchlaeferA,Schlaefer,Alexander,,M,13,195,15.0,5.0,35,7,592,3136,16937,756
SchneiderC,Schneider,Carsten,,M,8,515,64.375,2.5,16,7,1561,989,4158,756
GutierrezD,Gutierrez,Diego,,M,12,323,26.917,3.5,23,7,693,1809,10522,756
GiardP,Giard,Pascal,,M,7,478,68.286,4.0,10,7,2037,1093,3831,756
HamD,Ham,David,A,M,8,467,58.375,4.0,22,7,1561,1148,4635,756
XiangY,Xiang,Yang,,,11,472,42.909,3.0,32,7,826,1127,6449,756
CaiY,Cai,Yiyu,,,14,330,23.571,3.0,35,7,513,1767,11756,756
XieX,Xie,Xing,,,13,431,33.154,2.0,26,7,592,1294,8391,756
BruzzoneL,Bruzzone,Lorenzo,,M,10,1167,116.7,3.0,23,7,987,333,1973,756
XiaoL,Xiao,Lei,,,10,240,24.0,3.5,29,7,987,2526,11584,756
RuprechtD,Ruprecht,Daniel,,M,13,164,12.615,2.0,20,7,592,3696,19104,756
HanS,Han,Shuli,,F,14,351,25.071,4.0,70,7,513,1651,11050,756
GuanY,Guan,Yisheng,,M,12,359,29.917,3.0,34,7,693,1610,9528,756
MakkiB,Makki,Behrooz,,M,8,147,18.375,2.0,10,7,1561,4147,14483,756
AlNaffouriT,AlNaffouri,Tareq,Y,M,11,235,21.364,3.0,21,7,826,2584,12766,756
OrtegaA,Ortega,Antonio,,M,8,2828,353.5,2.5,17,7,1561,95,420,756
RosatiF,Rosati,Francesco,,M,8,166,20.75,2.0,2,7,1561,3646,13194,756
